Instance Name,Best UB,Best LB
network-10-10-L-01,88557.3,88557.3
network-10-10-L-02,108122.7,108122.7
network-10-10-L-03,76346.6,76346.6
network-10-10-L-04,58940.7,58940.7
network-10-10-L-05,65280.5,65280.5
network-10-10-L-06,60402.5,60402.5
network-10-10-L-07,66834.9,66834.9
network-10-10-L-08,81944.8,81944.8
network-10-10-L-09,68987.8,68987.8
network-10-10-L-10,81593.8,81593.8
network-10-10-H-01,27523.7,27523.7
network-10-10-H-02,61332.6,61332.6
network-10-10-H-03,92708.0,92708.0
network-10-10-H-04,67242.4,67242.4
network-10-10-H-05,56253.8,56253.8
network-10-10-H-06,85952.7,85952.7
network-10-10-H-07,77719.5,77719.5
network-10-10-H-08,59554.9,59554.9
network-10-10-H-09,44852.4,44852.4
network-10-10-H-10,49005.6,49005.6
network-10-20-L-01,116823.8,116823.8
network-10-20-L-02,45513.7,45513.7
network-10-20-L-03,89539.2,89539.2
network-10-20-L-04,91734.8,91734.8
network-10-20-L-05,69855.8,69855.8
network-10-20-L-06,102182.9,102182.9
network-10-20-L-07,59913.8,59913.8
network-10-20-L-08,86402.0,86402.0
network-10-20-L-09,55647.7,55647.7
network-10-20-L-10,79574.2,79574.2
network-10-20-H-01,26070.0,26070.0
network-10-20-H-02,84763.5,84763.5
network-10-20-H-03,32590.3,32590.3
network-10-20-H-04,63903.5,63903.5
network-10-20-H-05,59228.1,59228.1
network-10-20-H-06,52426.9,52426.9
network-10-20-H-07,32824.0,32824.0
network-10-20-H-08,91497.9,91497.9
network-10-20-H-09,76418.4,76418.4
network-10-20-H-10,66391.3,66391.3
network-10-30-L-01,99949.8,99949.8
network-10-30-L-02,84650.3,84650.3
network-10-30-L-03,33781.9,33781.9
network-10-30-L-04,114323.6,114323.6
network-10-30-L-05,57723.1,57723.1
network-10-30-L-06,73133.9,73133.9
network-10-30-L-07,30769.7,30769.7
network-10-30-L-08,105328.3,105328.3
network-10-30-L-09,88102.4,88102.4
network-10-30-L-10,97776.9,97776.9
network-10-30-H-01,103313.3,103313.3
network-10-30-H-02,87590.0,87590.0
network-10-30-H-03,38669.6,38669.6
network-10-30-H-04,61126.5,61126.5
network-10-30-H-05,30319.2,30319.2
network-10-30-H-06,79994.6,79994.6
network-10-30-H-07,76879.9,76879.9
network-10-30-H-08,72908.4,72908.4
network-10-30-H-09,92266.7,92266.7
network-10-30-H-10,91782.7,91782.7
network-30-10-L-01,86584.8,86584.8
network-30-10-L-02,155346.6,155346.6
network-30-10-L-03,177730.8,177730.8
network-30-10-L-04,124461.2,124461.2
