param NumNodes := 20;
param NumArcs := 120;
param NumCommodities := 200;
param ArcsNodes :=
  1 (1, 2)
  2 (1, 16)
  3 (1, 11)
  4 (1, 19)
  5 (1, 17)
  6 (1, 14)
  7 (2, 3)
  8 (2, 9)
  9 (2, 11)
  10 (2, 18)
  11 (3, 4)
  12 (3, 1)
  13 (3, 7)
  14 (3, 15)
  15 (3, 12)
  16 (4, 5)
  17 (4, 15)
  18 (4, 14)
  19 (4, 3)
  20 (4, 19)
  21 (5, 6)
  22 (5, 1)
  23 (5, 2)
  24 (5, 8)
  25 (5, 11)
  26 (6, 7)
  27 (6, 8)
  28 (6, 18)
  29 (6, 15)
  30 (6, 17)
  31 (7, 8)
  32 (7, 13)
  33 (7, 16)
  34 (7, 11)
  35 (7, 12)
  36 (7, 18)
  37 (7, 5)
  38 (7, 19)
  39 (7, 3)
  40 (8, 9)
  41 (8, 15)
  42 (8, 2)
  43 (8, 20)
  44 (9, 10)
  45 (9, 6)
  46 (9, 16)
  47 (9, 20)
  48 (9, 19)
  49 (9, 13)
  50 (9, 8)
  51 (10, 11)
  52 (10, 4)
  53 (10, 1)
  54 (10, 17)
  55 (10, 16)
  56 (11, 12)
  57 (11, 2)
  58 (11, 9)
  59 (11, 1)
  60 (12, 13)
  61 (12, 9)
  62 (12, 15)
  63 (12, 10)
  64 (12, 16)
  65 (12, 17)
  66 (12, 7)
  67 (13, 14)
  68 (13, 17)
  69 (13, 9)
  70 (13, 5)
  71 (13, 20)
  72 (14, 15)
  73 (14, 3)
  74 (14, 20)
  75 (14, 7)
  76 (14, 2)
  77 (14, 9)
  78 (14, 17)
  79 (15, 16)
  80 (15, 3)
  81 (15, 10)
  82 (15, 11)
  83 (15, 9)
  84 (15, 20)
  85 (16, 17)
  86 (16, 15)
  87 (16, 8)
  88 (16, 19)
  89 (16, 1)
  90 (16, 9)
  91 (17, 18)
  92 (17, 9)
  93 (17, 10)
  94 (17, 3)
  95 (17, 12)
  96 (18, 19)
  97 (18, 9)
  98 (18, 14)
  99 (18, 13)
  100 (18, 16)
  101 (18, 17)
  102 (18, 7)
  103 (18, 12)
  104 (18, 3)
  105 (18, 8)
  106 (19, 20)
  107 (19, 9)
  108 (19, 12)
  109 (19, 15)
  110 (19, 4)
  111 (19, 1)
  112 (20, 1)
  113 (20, 19)
  114 (20, 12)
  115 (20, 5)
  116 (20, 4)
  117 (20, 18)
  118 (20, 13)
  119 (20, 14)
  120 (20, 11)
;
param NodesCommoditiesDemand :=
  5 1 63.808483745206644
  2 1 -63.808483745206644
  8 2 31.502185506497774
  16 2 -31.502185506497774
  7 3 70.21887214403351
  16 3 -70.21887214403351
  7 4 37.02763142344542
  9 4 -37.02763142344542
  4 5 49.21042257388493
  3 5 -49.21042257388493
  9 6 69.3562529212899
  1 6 -69.3562529212899
  3 7 51.79294884577219
  5 7 -51.79294884577219
  14 8 72.46058534508308
  8 8 -72.46058534508308
  3 9 50.79637599862905
  7 9 -50.79637599862905
  11 10 69.64468860201967
  5 10 -69.64468860201967
  18 11 35.98740964383277
  4 11 -35.98740964383277
  2 12 20.74294623619954
  5 12 -20.74294623619954
  20 13 88.43431736177864
  13 13 -88.43431736177864
  10 14 86.5675792481801
  12 14 -86.5675792481801
  15 15 26.273616579301958
  14 15 -26.273616579301958
  10 16 32.23086396996957
  11 16 -32.23086396996957
  6 17 29.177725616552042
  15 17 -29.177725616552042
  11 18 83.28757242854496
  19 18 -83.28757242854496
  10 19 19.76444874663225
  5 19 -19.76444874663225
  5 20 55.54099561532592
  6 20 -55.54099561532592
  7 21 15.426362332252996
  18 21 -15.426362332252996
  17 22 82.13950079770127
  2 22 -82.13950079770127
  3 23 49.75821004556521
  4 23 -49.75821004556521
  20 24 72.66086512212961
  19 24 -72.66086512212961
  5 25 52.34422109375045
  16 25 -52.34422109375045
  4 26 66.6737850390946
  19 26 -66.6737850390946
  6 27 85.21089224939297
  1 27 -85.21089224939297
  9 28 29.44391846880232
  15 28 -29.44391846880232
  12 29 40.741114140415576
  15 29 -40.741114140415576
  1 30 64.7619438083824
  9 30 -64.7619438083824
  17 31 27.097622961961456
  18 31 -27.097622961961456
  19 32 33.162927962838275
  12 32 -33.162927962838275
  9 33 36.28603820522572
  2 33 -36.28603820522572
  14 34 11.896016264365345
  19 34 -11.896016264365345
  12 35 68.97982895675197
  17 35 -68.97982895675197
  20 36 13.720263578880035
  16 36 -13.720263578880035
  15 37 42.39947124511175
  1 37 -42.39947124511175
  13 38 71.61817490954027
  9 38 -71.61817490954027
  2 39 85.063731946928
  18 39 -85.063731946928
  9 40 26.11525597465514
  18 40 -26.11525597465514
  11 41 60.17967341245959
  20 41 -60.17967341245959
  1 42 78.91165566142284
  7 42 -78.91165566142284
  2 43 11.787215168307954
  8 43 -11.787215168307954
  6 44 68.03550959949567
  4 44 -68.03550959949567
  19 45 75.5691395432038
  11 45 -75.5691395432038
  3 46 22.40432047013296
  16 46 -22.40432047013296
  5 47 22.436922221343455
  19 47 -22.436922221343455
  4 48 9.869180959862328
  2 48 -9.869180959862328
  9 49 25.306526477842446
  20 49 -25.306526477842446
  10 50 69.08266620132133
  1 50 -69.08266620132133
  13 51 17.13852460240668
  12 51 -17.13852460240668
  7 52 66.24964941875892
  3 52 -66.24964941875892
  15 53 42.88488484148622
  11 53 -42.88488484148622
  18 54 14.091596854027141
  9 54 -14.091596854027141
  14 55 90.08365327938169
  1 55 -90.08365327938169
  13 56 15.687836562498356
  20 56 -15.687836562498356
  7 57 52.47897932297274
  10 57 -52.47897932297274
  14 58 22.365627675431686
  18 58 -22.365627675431686
  11 59 63.92998722506023
  1 59 -63.92998722506023
  13 60 11.913687790981552
  18 60 -11.913687790981552
  6 61 87.1495242711026
  9 61 -87.1495242711026
  15 62 52.31558430425441
  12 62 -52.31558430425441
  2 63 55.3923025719831
  9 63 -55.3923025719831
  13 64 50.196850136786345
