iteration,plain PH::zc,w_damping x0.5::zc,rho reduction (geom x0.7)::zc,W reset + rho x0.5::zc,W average over cycle::zc,"prox-boost (x10, 5 iters, one-shot)::zc","prox-refire (x10, 5 iters, cooldown 5)::zc","prox-hold (x10, held to end)::zc","prox-escalate (x10 base, x2/5 iters)::zc","smoothing (r=0.1, b=0.2)::zc",fix (slam analogue)::zc,plain PH::gap,w_damping x0.5::gap,rho reduction (geom x0.7)::gap,W reset + rho x0.5::gap,W average over cycle::gap,"prox-boost (x10, 5 iters, one-shot)::gap","prox-refire (x10, 5 iters, cooldown 5)::gap","prox-hold (x10, held to end)::gap","prox-escalate (x10 base, x2/5 iters)::gap","smoothing (r=0.1, b=0.2)::gap",fix (slam analogue)::gap
1,0,0,0,0,0,0,0,0,0,0,0,83333.333,83333.333,83333.333,83333.333,83333.333,83333.333,83333.333,83333.333,83333.333,83333.333,83333.333
2,0,0,0,0,0,0,0,0,0,0,0,65448.222,65448.222,65448.222,65448.222,65448.222,65448.222,65448.222,65448.222,65448.222,64012.667,65448.222
3,19,19,19,19,19,19,19,19,19,18,19,24889.333,24889.333,24889.333,24889.333,24889.333,24889.333,24889.333,24889.333,24889.333,24623.556,24889.333
4,19,19,19,19,19,19,19,19,19,18,19,4070.667,4070.667,4070.667,4070.667,4070.667,4070.667,4070.667,4070.667,4070.667,4437.778,4070.667
5,20,20,20,20,20,20,20,20,20,19,20,1305.778,1305.778,1305.778,1305.778,1305.778,1305.778,1305.778,1305.778,1305.778,2409.333,1305.778
6,21,21,21,21,21,21,21,21,21,23,21,944.889,944.889,944.889,944.889,944.889,944.889,944.889,944.889,944.889,2712.889,944.889
7,17,17,17,17,17,17,17,17,17,24,17,1111.111,1111.111,1111.111,1111.111,1111.111,1111.111,1111.111,1111.111,1111.111,3655.111,1111.111
8,18,18,18,18,18,18,18,18,18,26,18,1440.222,1440.222,1440.222,1440.222,1440.222,1440.222,1440.222,1440.222,1440.222,2723.556,1440.222
9,17,17,17,17,17,17,17,17,17,30,17,565.556,565.556,565.556,565.556,565.556,565.556,565.556,565.556,565.556,2798.667,565.556
10,17,17,17,17,17,17,17,17,17,30,17,378.889,378.889,378.889,378.889,378.889,378.889,378.889,378.889,378.889,2061.111,378.889
11,14,15,14,25,14,15,15,15,15,30,14,297.333,728.222,884.222,2214.889,297.333,52.0,52.0,52.0,52.0,292.0,204.222
12,15,15,15,25,15,15,15,15,15,29,14,242.667,525.111,1284.889,1561.778,242.667,44.667,44.667,44.667,44.667,1294.667,644.667
