param NumServers :=  15 ;
param NumClients :=  45 ;
param Capacity :=  112.0 ;
param FixedCost:=
1	40
2	70
3	63
4	45
5	66
6	64
7	51
8	40
9	70
10	70
11	45
12	71
13	56
14	60
15	43
;

param Revenue:
      1	2	3	4	5	6	7	8	9	10	11	12	13	14	15:=
1	0	4	5	22	1	20	10	23	9	17	3	22	4	2	19
2	21	2	14	19	2	21	16	4	9	23	2	17	3	24	11
3	4	19	3	25	0	4	12	10	1	8	15	10	25	3	22
4	20	11	10	20	20	20	6	21	12	4	20	1	4	7	20
5	2	9	2	8	21	5	4	23	4	24	8	7	6	21	20
6	7	14	5	6	6	15	14	21	10	20	23	22	25	2	4
7	8	17	16	7	8	5	17	10	4	19	16	7	5	23	2
8	0	21	17	15	14	14	12	17	13	6	21	2	3	10	1	
9	23	17	8	6	8	6	19	23	13	7	2	16	5	18	20
10	8	3	24	0	1	0	20	21	24	13	12	21	5	21	19
11	19	25	17	9	10	10	16	2	10	21	12	18	16	24	22
12	8	4	12	17	2	15	12	19	13	13	14	22	9	1	16
13	2	5	2	19	22	4	5	12	22	5	6	5	24	19	22
14	14	13	20	10	7	10	19	15	14	11	24	4	24	20	7
15	18	16	12	13	12	5	6	1	23	5	3	16	6	7	17
16	15	14	15	20	14	18	12	2	15	10	4	14	1	7	22
17	17	14	9	2	15	9	4	0	20	6	6	17	3	4	13
18	2	13	14	21	17	1	14	7	19	25	9	25	16	8	8
19	11	19	1	14	23	7	19	4	8	22	21	1	10	13	14
20	4	3	16	20	4	12	23	13	14	7	20	13	25	22	19
21	18	25	5	4	20	22	22	0	25	21	5	9	24	23	5
22	16	20	17	5	22	1	2	19	16	5	20	25	0	10	14
23	2	16	15	24	7	9	4	6	9	9	5	2	1	22	0
24	15	22	10	3	10	22	14	1	2	12	17	19	8	17	22
25	15	6	4	22	12	18	7	17	13	15	21	22	24	6	3
26	21	4	22	7	13	9	18	8	12	23	5	24	9	20	19
27	17	18	12	12	5	10	18	13	22	7	16	23	12	13	20
28	6	19	13	21	17	21	6	8	15	18	5	25	12	3	6
29	16	11	7	18	14	20	21	15	12	3	21	5	14	11	23
30	16	21	19	9	2	18	3	8	2	14	19	9	7	24	7
31	7	10	8	7	23	1	18	22	7	7	17	2	23	12	13
32	14	7	23	3	1	8	16	21	13	7	1	9	12	12	4
33	20	1	11	8	20	24	24	18	2	15	3	15	0	13	22
34	24	4	19	8	15	9	2	25	3	12	7	14	13	19	20
35	10	4	16	7	2	21	17	17	21	17	1	25	17	3	24
36	7	14	12	7	18	5	6	4	10	22	12	3	24	18	8
37	18	8	12	13	1	21	3	6	10	10	0	21	7	4	16
38	22	19	20	19	18	2	6	18	19	20	9	10	13	17	9
39	18	15	21	8	0	12	19	14	3	5	5	18	0	21	21
40	11	7	6	12	5	11	7	23	10	4	15	11	19	4	23
41	5	9	4	24	13	19	11	0	21	14	3	19	2	21	8
42	12	23	9	12	2	23	8	11	18	14	6	8	12	24	7
43	16	8	4	0	3	11	1	7	5	3	17	0	18	12	21
44	17	14	6	2	12	13	14	17	13	18	10	23	2	15	16
45	1	1	11	6	4	14	4	12	10	3	18	17	21	8	1
;

param Demand:
      1	2	3	4	5	6	7	8	9	10	11	12	13	14	15:=
1	0	4	5	22	1	20	10	23	9	17	3	22	4	2	19
2	21	2	14	19	2	21	16	4	9	23	2	17	3	24	11
3	4	19	3	25	0	4	12	10	1	8	15	10	25	3	22
4	20	11	10	20	20	20	6	21	12	4	20	1	4	7	20
5	2	9	2	8	21	5	4	23	4	24	8	7	6	21	20
6	7	14	5	6	6	15	14	21	10	20	23	22	25	2	4
7	8	17	16	7	8	5	17	10	4	19	16	7	5	23	2
8	0	21	17	15	14	14	12	17	13	6	21	2	3	10	1	
9	23	17	8	6	8	6	19	23	13	7	2	16	5	18	20
10	8	3	24	0	1	0	20	21	24	13	12	21	5	21	19
11	19	25	17	9	10	10	16	2	10	21	12	18	16	24	22
12	8	4	12	17	2	15	12	19	13	13	14	22	9	1	16
13	2	5	2	19	22	4	5	12	22	5	6	5	24	19	22
14	14	13	20	10	7	10	19	15	14	11	24	4	24	20	7
15	18	16	12	13	12	5	6	1	23	5	3	16	6	7	17
16	15	14	15	20	14	18	12	2	15	10	4	14	1	7	22
17	17	14	9	2	15	9	4	0	20	6	6	17	3	4	13
18	2	13	14	21	17	1	14	7	19	25	9	25	16	8	8
19	11	19	1	14	23	7	19	4	8	22	21	1	10	13	14
20	4	3	16	20	4	12	23	13	14	7	20	13	25	22	19
21	18	25	5	4	20	22	22	0	25	21	5	9	24	23	5
22	16	20	17	5	22	1	2	19	16	5	20	25	0	10	14
23	2	16	15	24	7	9	4	6	9	9	5	2	1	22	0
24	15	22	10	3	10	22	14	1	2	12	17	19	8	17	22
25	15	6	4	22	12	18	7	17	13	15	21	22	24	6	3
26	21	4	22	7	13	9	18	8	12	23	5	24	9	20	19
27	17	18	12	12	5	10	18	13	22	7	16	23	12	13	20
28	6	19	13	21	17	21	6	8	15	18	5	25	12	3	6
29	16	11	7	18	14	20	21	15	12	3	21	5	14	11	23
30	16	21	19	9	2	18	3	8	2	14	19	9	7	24	7
31	7	10	8	7	23	1	18	22	7	7	17	2	23	12	13
32	14	7	23	3	1	8	16	21	13	7	1	9	12	12	4
33	20	1	11	8	20	24	24	18	2	15	3	15	0	13	22
34	24	4	19	8	15	9	2	25	3	12	7	14	13	19	20
35	10	4	16	7	2	21	17	17	21	17	1	25	17	3	24
36	7	14	12	7	18	5	6	4	10	22	12	3	24	18	8
37	18	8	12	13	1	21	3	6	10	10	0	21	7	4	16
38	22	19	20	19	18	2	6	18	19	20	9	10	13	17	9
39	18	15	21	8	0	12	19	14	3	5	5	18	0	21	21
40	11	7	6	12	5	11	7	23	10	4	15	11	19	4	23
41	5	9	4	24	13	19	11	0	21	14	3	19	2	21	8
42	12	23	9	12	2	23	8	11	18	14	6	8	12	24	7
43	16	8	4	0	3	11	1	7	5	3	17	0	18	12	21
44	17	14	6	2	12	13	14	17	13	18	10	23	2	15	16
45	1	1	11	6	4	14	4	12	10	3	18	17	21	8	1
;

param ClientPresent:=
1 1 
2 0 
3 1 
4 1 
5 0 
6 0 
7 0 
8 1 
9 1 
10 1 
11 1 
12 1 
13 0 
14 0 
15 0 
16 0 
17 1 
18 1 
19 1 
20 0 
21 1 
22 0 
23 0 
24 0 
25 0 
26 1 
27 1 
28 0 
29 0 
30 1 
31 1 
32 0 
33 0 
34 0 
35 0 
36 0 
37 0 
38 1 
39 0 
40 1 
41 0 
42 1 
43 0 
44 1 
45 1 
;

