param NumServers := 5 ;
param NumClients := 25 ;
param Capacity := 188.0 ;
param FixedCost :=
1 40
2 60
3 47
4 68
5 60
;

param Revenue:
  1 2  3  4  5:=
 1  0 22 18 14 22 
 2 15 11 20  8 14 
 3  4 22 10  0 25 
 4 14 23 23  5 22 
 5  8 23 14  5 11 
 6 18  5  2 23  6 
 7  6  8 22  3 15 
 8 14 21  6 16 14 
 9 21  6  1  8  3 
10 16 14 13 12 22 
11  8 20 15 15 12 
12 11  4  9 15 11 
13  2 19 13  2  9 
14 15 20 17  0 16 
15  6  1 21 23  1 
16 11 21  2 15 17 
17 17 17  3 13  3 
18 15  5 14 19  7 
19 10  8  0  8 14 
20 22 24 23 14 15 
21 14 13  8  2 23 
22 21 12 10 12 17 
23  2 10 13 10  9 
24 20 21  9 20 21 
25 23 18  2  9 23 
;

param Demand:
  1 2  3  4  5:=
 1  0 22 18 14 22 
 2 15 11 20  8 14 
 3  4 22 10  0 25 
 4 14 23 23  5 22 
 5  8 23 14  5 11 
 6 18  5  2 23  6 
 7  6  8 22  3 15 
 8 14 21  6 16 14 
 9 21  6  1  8  3 
10 16 14 13 12 22 
11  8 20 15 15 12 
12 11  4  9 15 11 
13  2 19 13  2  9 
14 15 20 17  0 16 
15  6  1 21 23  1 
16 11 21  2 15 17 
17 17 17  3 13  3 
18 15  5 14 19  7 
19 10  8  0  8 14 
20 22 24 23 14 15 
21 14 13  8  2 23 
22 21 12 10 12 17 
23  2 10 13 10  9 
24 20 21  9 20 21 
25 23 18  2  9 23 
;

param ClientPresent:=
1 1
2 0
3 1
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 1
12 0
13 1
14 0
15 1
16 1
17 1
18 0
19 1
20 1
21 1
22 1
23 0
24 0
25 0
;
