param MinNondispatchablePower := 
WIND 1 0.0
WIND 2 0.0
WIND 3 0.0
WIND 4 0.0
WIND 5 0.0
WIND 6 0.0
WIND 7 0.0
WIND 8 0.0
WIND 9 0.0
WIND 10 0.0
WIND 11 0.0
WIND 12 0.0
WIND 13 0.0
WIND 14 0.0
WIND 15 0.0
WIND 16 0.0
WIND 17 0.0
WIND 18 0.0
WIND 19 0.0
WIND 20 0.0
WIND 21 0.0
WIND 22 0.0
WIND 23 0.0
WIND 24 0.0
WIND 25 0.0
WIND 26 0.0
WIND 27 0.0
WIND 28 0.0
WIND 29 0.0
WIND 30 0.0
WIND 31 0.0
WIND 32 0.0
WIND 33 0.0
WIND 34 0.0
WIND 35 0.0
WIND 36 0.0
WIND 37 0.0
WIND 38 0.0
WIND 39 0.0
WIND 40 0.0
WIND 41 0.0
WIND 42 0.0
WIND 43 0.0
WIND 44 0.0
WIND 45 0.0
WIND 46 0.0
WIND 47 0.0
WIND 48 0.0
;


param MaxNondispatchablePower := 
WIND 1 82.0033465333699
WIND 2 101.07840352003683
WIND 3 107.39463374543516
WIND 4 72.05588255008188
WIND 5 92.3780643728548
WIND 6 129.56988858428662
WIND 7 126.93237621056674
WIND 8 147.64819144070623
WIND 9 82.79164048857874
WIND 10 64.2101976171517
WIND 11 53.11352730423903
WIND 12 87.58869075539945
WIND 13 37.53798064418575
WIND 14 36.61475906999281
WIND 15 76.75199873410523
WIND 16 24.2039985896021
WIND 17 45.35514855366409
WIND 18 54.879131335117876
WIND 19 76.78440249337703
WIND 20 79.40235755001378
WIND 21 99.28022388178192
WIND 22 88.89829713346037
WIND 23 96.8950626799444
WIND 24 94.65852335193168
WIND 25 94.65852335193168
WIND 26 94.65852335193168
WIND 27 94.65852335193168
WIND 28 94.65852335193168
WIND 29 94.65852335193168
WIND 30 94.65852335193168
WIND 31 94.65852335193168
WIND 32 94.65852335193168
WIND 33 94.65852335193168
WIND 34 94.65852335193168
WIND 35 94.65852335193168
WIND 36 94.65852335193168
WIND 37 94.65852335193168
WIND 38 94.65852335193168
WIND 39 94.65852335193168
WIND 40 94.65852335193168
WIND 41 94.65852335193168
WIND 42 94.65852335193168
WIND 43 94.65852335193168
WIND 44 94.65852335193168
WIND 45 94.65852335193168
WIND 46 94.65852335193168
WIND 47 94.65852335193168
WIND 48 94.65852335193168
;


